batter,sum,count,strike_rate
147,6567,4849,135.4299855640338
148,12,9,133.33333333333331
149,304,267,113.85767790262172
150,375,325,115.38461538461537
151,21,23,91.30434782608695
152,12,12,100.0
153,170,142,119.71830985915493
154,1560,1247,125.10024057738573
155,111,103,107.76699029126213
156,1466,1170,125.2991452991453
157,1322,1101,120.07266121707538
158,92,101,91.0891089108911
159,26,26,100.0
160,351,274,128.1021897810219
161,1,3,33.33333333333333
162,39,54,72.22222222222221
163,53,64,82.8125
164,295,251,117.52988047808766
165,115,102,112.74509803921569
166,80,61,131.14754098360655
167,121,118,102.54237288135593
168,6,5,120.0
169,11,9,122.22222222222223
170,924,669,138.11659192825113
171,4,13,30.76923076923077
172,1,1,100.0
173,1808,1522,118.7910643889619
174,19,26,73.07692307692307
175,44,48,91.66666666666666
176,13,20,65.0
177,2385,1803,132.27953410981698
178,104,113,92.03539823008849
179,18,19,94.73684210526315
180,460,408,112.74509803921569
181,13,13,100.0
182,167,163,102.45398773006136
183,347,237,146.41350210970467
184,654,499,131.06212424849699
185,1406,1181,119.05165114309906
186,24,15,160.0
187,14,13,107.6923076923077
188,4571,3435,133.07132459970887
189,14,19,73.68421052631578
190,4,5,80.0
191,183,179,102.23463687150837
192,3,13,23.076923076923077
193,14,22,63.63636363636363
194,4217,3524,119.66515323496027
195,22,22,100.0
196,739,691,106.9464544138929
197,3,7,42.857142857142854
198,4,5,80.0
199,65,55,118.18181818181819
200,284,331,85.80060422960725
201,2,4,50.0
202,663,552,120.1086956521739
203,2772,1842,150.4885993485342
204,15,16,93.75
205,19,15,126.66666666666666
206,511,436,117.20183486238531
207,2,5,40.0
208,993,613,161.99021207177816
209,190,159,119.49685534591194
210,22,25,88.0
211,1,5,20.0
212,886,837,105.8542413381123
213,2534,1814,139.69128996692393
214,577,418,138.03827751196172
215,66,67,98.50746268656717
216,249,214,116.35514018691589
217,833,636,130.9748427672956
218,18,12,150.0
219,233,201,115.92039800995025
220,123,119,103.36134453781514
221,2,3,66.66666666666666
222,7,4,175.0
223,57,71,80.28169014084507
224,15,11,136.36363636363635
225,0,2,0.0
226,1150,985,116.75126903553299
227,76,100,76.0
228,7,18,38.88888888888889
229,33,37,89.1891891891892
230,88,86,102.32558139534885
231,2644,1991,132.79758915118032
232,23,24,95.83333333333334
233,409,364,112.36263736263736
